"","x"
"827",2.42940740089355e-05
"828",2.42854461025693e-05
"829",2.42829075722796e-05
"830",2.42970650921994e-05
"831",2.428105963886e-05
"832",2.42639189392181e-05
"833",2.42250103233061e-05
"834",2.42210754570726e-05
"835",2.42545618363157e-05
"836",2.42490952763244e-05
"837",2.42692108393502e-05
"838",2.42393048267533e-05
"839",2.42249246017031e-05
"840",2.4240311748106e-05
"841",2.42570842452599e-05
"842",2.42784439109093e-05
"843",2.42972193568037e-05
"844",2.42877916044903e-05
"845",2.42837069755237e-05
"846",2.42562238854401e-05
"847",2.42454571732647e-05
"848",2.42763379099963e-05
"849",2.42677245979977e-05
"850",2.42639494849464e-05
"851",2.42517566322773e-05
"852",2.42471471313158e-05
"853",2.42335344714523e-05
"854",2.42443489106064e-05
"855",2.42535208642353e-05
"856",2.42517807524301e-05
"857",2.42436268394617e-05
"858",2.42277158804989e-05
"859",2.42050321250203e-05
"860",2.41763506165197e-05
"861",2.4193044158408e-05
"862",2.41822677766803e-05
"863",2.41889974299821e-05
"864",2.41529978547928e-05
"865",2.41272192005235e-05
"866",2.41399128902822e-05
"867",2.41173336619105e-05
"868",2.41558849207497e-05
"869",2.41617435944437e-05
"870",2.41463950731168e-05
"871",2.41448560755873e-05
"872",2.41277631487662e-05
"873",2.41545295214491e-05
"874",2.41753721706324e-05
"875",2.4172530837114e-05
"876",2.4171550755716e-05
"877",2.41548076845125e-05
"878",2.41339957602176e-05
"879",2.412112073376e-05
"880",2.41008685701374e-05
"881",2.4107581079532e-05
"882",2.40994694581993e-05
"883",2.40753614415201e-05
"884",2.40658776573322e-05
"885",2.40564147070181e-05
"886",2.40271268922034e-05
"887",2.40426224156626e-05
"888",2.40461125333644e-05
"889",2.4054445341735e-05
"890",2.40332597899754e-05
"891",2.40295202461362e-05
"892",2.4034545474011e-05
"893",2.40530190978732e-05
"894",2.40630459516753e-05
"895",2.40655121661745e-05
"896",2.40401564970498e-05
"897",2.40163300592688e-05
"898",2.40094889748029e-05
"899",2.40008664571175e-05
"900",2.3985297699594e-05
"901",2.39473292223549e-05
"902",2.3956301401061e-05
"903",2.39824734278926e-05
"904",2.39604068646893e-05
"905",2.39401521117656e-05
"906",2.39391031316553e-05
"907",2.39601856302551e-05
"908",2.39598500042557e-05
"909",2.3959365944031e-05
"910",2.39286251057592e-05
"911",2.39158318523511e-05
"912",2.39059469561318e-05
"913",2.38883942925848e-05
"914",2.38796307429671e-05
"915",2.38707144340689e-05
"916",2.38459608881029e-05
"917",2.38364225579764e-05
"918",2.38088202053198e-05
"919",2.37794106212181e-05
"920",2.37626294238444e-05
"921",2.37352761832486e-05
"922",2.37494179737666e-05
"923",2.3727305793477e-05
"924",2.37294726839035e-05
"925",2.37105796586329e-05
"926",2.37086395802337e-05
"927",2.3736814387845e-05
"928",2.37541487792947e-05
"929",2.37675725657245e-05
"930",2.37693388894841e-05
"931",2.37712539596569e-05
"932",2.37817879895641e-05
"933",2.38037890344054e-05
"934",2.38386383073972e-05
"935",2.3833745687686e-05
"936",2.38228314455077e-05
"937",2.38122971110566e-05
"938",2.38030152605271e-05
"939",2.3790975238229e-05
"940",2.37768561435636e-05
"941",2.37791323685851e-05
"942",2.37571894057384e-05
"943",2.37197937508025e-05
"944",2.36983591197214e-05
"945",2.36569368110522e-05
"946",2.36498890184678e-05
"947",2.36283033452584e-05
"948",2.36296174631144e-05
"949",2.36291576344651e-05
"950",2.35970870603514e-05
"951",2.35986219284251e-05
"952",2.3627446463151e-05
"953",2.36232999800644e-05
"954",2.36455632085814e-05
"955",2.36587009546287e-05
"956",2.36720768592749e-05
"957",2.36597376034214e-05
"958",2.36291001451109e-05
"959",2.3626870242091e-05
"960",2.36457822218674e-05
"961",2.36558336472421e-05
"962",2.37051456983975e-05
"963",2.37097073693679e-05
"964",2.37077414065829e-05
"965",2.36978770821446e-05
"966",2.37194156922918e-05
"967",2.37554092332593e-05
"968",2.38261174880659e-05
"969",2.38518936455004e-05
"970",2.38646168458735e-05
"971",2.38404971250866e-05
"972",2.38279305343387e-05
"973",2.38185750916679e-05
"974",2.3810720975813e-05
"975",2.38225311778177e-05
"976",2.38144919239876e-05
"977",2.38029788180208e-05
"978",2.3793158320732e-05
"979",2.37364333897701e-05
"980",2.36980554278171e-05
"981",2.36946899020674e-05
"982",2.36654285494201e-05
"983",2.36444759866125e-05
"984",2.36478424606813e-05
"985",2.36161967231178e-05
"986",2.35752774075779e-05
"987",2.35679102832257e-05
"988",2.35600521391825e-05
"989",2.35385752362917e-05
"990",2.35567564563808e-05
"991",2.35751417463629e-05
"992",2.35806962456499e-05
"993",2.35801202367368e-05
"994",2.36103606555224e-05
"995",2.36395118039921e-05
"996",2.36702613962268e-05
"997",2.37291916977026e-05
"998",2.37803265911765e-05
"999",2.38171729229397e-05
"1000",2.38121999627012e-05
